ell,Lp_power_p=1.1,Lp_power_p=1.25,Lp_power_p=1.5,Lp_power_p=1.75,Lp_power_p=1.9,Lp_power_p=2,Lp_power_p=2.1,Lp_power_p=2.5
1,1.0478489750241955,1.1261380766684805,1.2761423749153966,1.4545285536716193,1.5773773220490763,1.6666666666666667,1.7623646167150575,2.2189514164974597
2,1.0668419145512242,1.1824287219337519,1.422633459935813,1.7359504101919856,1.9672970601144917,2.1428571428571423,2.3376369187137085,3.3546695481284057
3,1.0799295748340521,1.2233713950358582,1.5396054221781477,1.9833284630436696,2.3307012747654068,2.604431823197916,2.9176586025244231,4.6963265782372163
4,1.089743064287845,1.2554938831943101,1.6389490694627047,2.2116206115092258,2.6837175395952544,3.0686462316162628,3.5218166927060741,6.3090833317765362
5,1.0973613995741116,1.2813705737285332,1.7245572526353576,2.4233316937708893,3.0266459608163863,3.534161151367798,4.1476191178335267,8.2205489849077331
6,1.1035155406857582,1.302858747167164,1.7996032265247752,2.6209798524386452,3.3602993977796412,4.0003299123692422,4.793220272550645,10.458756990674068
7,1.1086013808342803,1.3210205580958949,1.8660316513695887,2.8060197560648521,3.6846908183779101,4.4658213422055359,5.4560605101527813,13.051244580189691
8,1.1128939472301405,1.336646917427277,1.9255534218653445,2.9804585721242365,4.001371146375873,4.9317424625049151,6.1371427971122738,16.041494751282688
9,1.116565194347326,1.3502454211861559,1.9793028465104117,3.1455735863327789,4.3111325338485296,5.3984016089144262,6.8365764228625352,19.475002314459687
10,1.1197414320621037,1.3621949247065874,2.0281510712285407,3.302336203254487,4.6144715697717746,5.8657890264982075,7.5540653021002671,23.399717540177267
11,1.1225093576603919,1.3727624782753789,2.0727435262689133,3.4515065133488974,4.911803779999401,6.3339576601769538,8.2895722134002785,27.871188779406221
12,1.1249368290330302,1.3821594468118465,2.1136048246010195,3.593715107524043,5.2034544272398033,6.8028990405641796,9.0430140515737172,32.950466102452495
13,1.1270758889668917,1.3905499595341493,2.151151558824854,3.729460294765047,5.4896379277812697,7.2725139545479989,9.814234041051046,38.705110193641552
14,1.1289691542615741,1.3980700484600861,2.1857398293047585,3.859191947900559,5.7705758478115428,7.7427682886422016,10.603218706385807,45.211074071395544
