v    ell   ratio_RP(real)   ratio_RP(dilation-control)   ratio_RP(unrelated-root)
1       8         0.1304                     0.0680                   0.0822
1      10         0.0559                     0.0487                   0.0406
1      12         0.0359                     0.0480                   0.0343
5       8         0.0961                     0.1011                   0.1467
5      10         0.0523                     0.0511                   0.0897
5      12         0.0337                     0.0296                   0.0429
11      8         0.1147                     0.1185                   0.0624
11     10         0.0513                     0.0541                   0.4688
11     12         0.0363                     0.0205                   0.0139
17      8         0.1377                     0.1224                   0.1218
17     10         0.0432                     0.0881                   0.0837
17     12         0.0165                     0.0443                   0.3207
