ell   corr(R(k),R(A(k)))   corr(R,shuffled)     min(R)     max(R)
  4               0.4014            -0.0645    0.35853     1.5342
  5               0.4305             0.0100    0.36755     1.5253
  6               0.5041             0.0660    0.37210     1.5223
  7               0.4646             0.0101    0.37537     1.5162
  8               0.5103            -0.0021    0.37695     1.5150
  9               0.5086            -0.0111    0.37799     1.5145
 10               0.5297            -0.0084    0.37917     1.5137
 11               0.5331            -0.0060    0.37958     1.5134
 12               0.5393            -0.0030    0.37983     1.5131
 13               0.5426             0.0005    0.38002     1.5129
 14               0.5457             0.0010    0.38017     1.5127
